Cód. Item;Descrição;Espessura(mm);Largura(mm);Grupo de Item
72;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,010 LARG300 DI76,2 DEMÁX450 ACABBRILHANTE/FOSCO LAHHF;10;300;HHF 10
73;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,010 LARG450 DI76,2 DEMÁX450 ACABBRILHANTE/FOSCO LAHHF;10;450;HHF 10
74;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,0105 LARG300 DI76,2 DEMÁX450 ACABBRILHANTE/FOSCO LAHHF;10,5;300;HHF 10,5
75;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,0105 LARG450 DI76,2 DEMÁX450 ACABBRILHANTE/FOSCO LAHHF;10,5;450;HHF 10,5
76;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,030 LARG465 DI76,2 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;30;465;CONVERTER 30-40
77;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,300 LARG55 DI406 DEMÁX600 ACABFOSCO/FOSCO LADTB;300;55;DTB SGA 1100 0,4-1,0
78;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,300 LARG61 DI406 DEMÁX600 ACABFOSCO/FOSCO LADTB;300;61;DTB SGA 1100 0,4-1,0
79;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,300 LARG66 DI406 DEMÁX600 ACABFOSCO/FOSCO LADTB;300;66;DTB SGA 1100 0,4-1,0
80;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,3 LARG99 DI406 DEMÁX600 ACABFOSCO/FOSCO LADTB;300;99;DTB SGA 1100 0,4-1,0
81;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,3 LARG99 DI406 DEMÁX500 ACABFOSCO/FOSCO LADTB;300;99;DTB SGA 1100 0,4-1,0
82;CHAPA ALUM BOB 1100 H14 CGALSOSFP ESP0,3 LARG1000 DI406 DEMÁX1200 ACABFOSCO/FOSCO LADTB;300;1000;DTB CGA 1100 0,4-1,0
83;CHAPA ALUM BOB 1100 H14 CGALSOSFP ESP0,4 LARG70 DI406 DEMÁX600 ACABFOSCO/FOSCO LADTB;400;70;DTB CGA 1100 0,4-1,0
84;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,4 LARG70 DI406 DEMÁX600 ACABFOSCO/FOSCO LADTB;400;70;DTB SGA 1100 0,4-1,0
85;CHAPA ALUM BOB 1100 H14 CGALSOSFP ESP0,4 LARG200 DI406 DEMÁX600 ACABFOSCO/FOSCO LADTB;400;200;DTB CGA 1100 0,4-1,0
86;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,4 LARG200 DI406 DEMÁX600 ACABFOSCO/FOSCO LADTB;400;200;DTB SGA 1100 0,4-1,0
87;CHAPA ALUM BOB 1100 H14 CGALSOSFP ESP0,4 LARG300 DI406 DEMÁX900 ACABFOSCO/FOSCO LADTB;400;300;DTB CGA 1100 0,4-1,0
88;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,4 LARG300 DI406 DEMÁX900 ACABFOSCO/FOSCO LADTB;400;300;DTB SGA 1100 0,4-1,0
89;CHAPA ALUM BOB 1100 H14 CGALSOSFP ESP0,4 LARG400 DI406 DEMÁX900 ACABFOSCO/FOSCO LADTB;400;400;DTB CGA 1100 0,4-1,0
90;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,4 LARG400 DI406 DEMÁX900 ACABFOSCO/FOSCO LADTB;400;400;DTB CGA 1100 0,4-1,0
91;CHAPA ALUM BOB 1100 H14 CGALSOSFP ESP0,4 LARG1000 DI406 DEMÁX1200 ACABFOSCO/FOSCO LADTB;400;1000;DTB CGA 1100 0,4-1,0
92;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,4 LARG1000 DI406 DEMÁX1200 ACABFOSCO/FOSCO LADTB;400;1000;DTB SGA 1100 0,4-1,0
93;CHAPA ALUM BOB 1100 H14 CGALSOSFP ESP0,5 LARG200 DI406 DEMÁX600 ACABFOSCO/FOSCO LADTB;500;200;DTB CGA 1100 0,4-1,0
94;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,5 LARG200 DI406 DEMÁX600 ACABFOSCO/FOSCO LADTB;500;200;DTB SGA 1100 0,4-1,0
95;CHAPA ALUM BOB 1100 H14 CGALSOSFP ESP0,5 LARG250 DI406 DEMÁX600 ACABFOSCO/FOSCO LADTB;500;250;DTB CGA 1100 0,4-1,0
96;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,5 LARG250 DI406 DEMÁX600 ACABFOSCO/FOSCO LADTB;500;250;DTB SGA 1100 0,4-1,0
97;CHAPA ALUM BOB 1100 H14 CGALSOSFP ESP0,5 LARG300 DI406 DEMÁX900 ACABFOSCO/FOSCO LADTB;500;300;DTB CGA 1100 0,4-1,0
98;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,5 LARG300 DI406 DEMÁX900 ACABFOSCO/FOSCO LADTB;500;300;DTB SGA 1100 0,4-1,0
99;CHAPA ALUM BOB 1100 H14 CGALSOSFP ESP0,5 LARG333,3 DI406 DEMÁX900 ACABFOSCO/FOSCO LADTB;500;333,3;DTB CGA 1100 0,4-1,0
100;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,5 LARG333,3 DI406 DEMÁX900 ACABFOSCO/FOSCO LADTB;500;333,3;DTB SGA 1100 0,4-1,0
101;CHAPA ALUM BOB 1100 H14 CGALSOSFP ESP0,5 LARG400 DI406 DEMÁX900 ACABFOSCO/FOSCO LADTB;500;400;DTB CGA 1100 0,4-1,0
102;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,5 LARG400 DI406 DEMÁX900 ACABFOSCO/FOSCO LADTB;500;400;DTB SGA 1100 0,4-1,0
103;CHAPA ALUM BOB 1100 H14 CGALSOSFP ESP0,5 LARG500 DI406 DEMÁX900 ACABFOSCO/FOSCO LADTB;500;500;DTB CGA 1100 0,4-1,0
104;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,5 LARG500 DI406 DEMÁX900 ACABFOSCO/FOSCO LADTB;500;500;DTB SGA 1100 0,4-1,0
105;CHAPA ALUM BOB 1100 H14 CGALSOSFP ESP0,5 LARG600 DI406 DEMÁX900 ACABFOSCO/FOSCO LADTB;500;600;DTB CGA 1100 0,4-1,0
106;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,5 LARG600 DI406 DEMÁX900 ACABFOSCO/FOSCO LADTB;500;600;DTB SGA 1100 0,4-1,0
107;CHAPA ALUM BOB 1100 H14 CGALSOSFP ESP0,5 LARG700 DI406 DEMÁX900 ACABFOSCO/FOSCO LADTB;500;700;DTB CGA 1100 0,4-1,0
108;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,5 LARG700 DI406 DEMÁX900 ACABFOSCO/FOSCO LADTB;500;700;DTB SGA 1100 0,4-1,0
109;CHAPA ALUM BOB 1100 H14 CGALSOSFP ESP0,5 LARG800 DI406 DEMÁX900 ACABFOSCO/FOSCO LADTB;500;800;DTB CGA 1100 0,4-1,0
110;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,5 LARG800 DI406 DEMÁX900 ACABFOSCO/FOSCO LADTB;500;800;DTB SGA 1100 0,4-1,0
111;CHAPA ALUM BOB 1100 H14 CGALSOSFP ESP0,5 LARG1000 DI406 DEMÁX1200 ACABFOSCO/FOSCO LADTB;500;1000;DTB CGA 1100 0,4-1,0
112;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,5 LARG1000 DI406 DEMÁX1200 ACABFOSCO/FOSCO LADTB;500;1000;DTB SGA 1100 0,4-1,0
113;CHAPA ALUM BOB 1100 H14 CGALSOSFP ESP0,7 LARG200 DI406 DEMÁX600 ACABBRILHANTE/FOSCO LADTB;700;200;DTB CGA 1100 0,4-1,0
114;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,7 LARG200 DI406 DEMÁX600 ACABBRILHANTE/FOSCO LADTB;700;200;DTB SGA 1100 0,4-1,0
115;CHAPA ALUM BOB 1100 H14 CGALSOSFP ESP0,7 LARG300 DI406 DEMÁX900 ACABBRILHANTE/FOSCO LADTB;700;300;DTB CGA 1100 0,4-1,0
116;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,7 LARG300 DI406 DEMÁX900 ACABBRILHANTE/FOSCO LADTB;700;300;DTB SGA 1100 0,4-1,0
117;CHAPA ALUM BOB 1100 H14 CGALSOSFP ESP0,7 LARG333,3 DI406 DEMÁX900 ACABBRILHANTE/FOSCO LADTB;700;333,3;DTB CGA 1100 0,4-1,0
118;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,7 LARG333,3 DI406 DEMÁX900 ACABBRILHANTE/FOSCO LADTB;700;333,3;DTB SGA 1100 0,4-1,0
119;CHAPA ALUM BOB 1100 H14 CGALSOSFP ESP0,7 LARG400 DI406 DEMÁX900 ACABBRILHANTE/FOSCO LADTB;700;400;DTB CGA 1100 0,4-1,0
120;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,7 LARG400 DI406 DEMÁX900 ACABBRILHANTE/FOSCO LADTB;700;400;DTB SGA 1100 0,4-1,0
121;CHAPA ALUM BOB 1100 H14 CGALSOSFP ESP0,7 LARG500 DI406 DEMÁX900 ACABBRILHANTE/FOSCO LADTB;700;500;DTB CGA 1100 0,4-1,0
122;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,7 LARG500 DI406 DEMÁX900 ACABBRILHANTE/FOSCO LADTB;700;500;DTB SGA 1100 0,4-1,0
123;CHAPA ALUM BOB 1100 H14 CGALSOSFP ESP0,7 LARG600 DI406 DEMÁX900 ACABBRILHANTE/FOSCO LADTB;700;600;DTB CGA 1100 0,4-1,0
124;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,7 LARG600 DI406 DEMÁX900 ACABBRILHANTE/FOSCO LADTB;700;600;DTB SGA 1100 0,4-1,0
125;CHAPA ALUM BOB 1100 H14 CGALSOSFP ESP0,7 LARG700 DI406 DEMÁX900 ACABBRILHANTE/FOSCO LADTB;700;700;DTB CGA 1100 0,4-1,0
126;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,7 LARG700 DI406 DEMÁX900 ACABBRILHANTE/FOSCO LADTB;700;700;DTB SGA 1100 0,4-1,0
127;CHAPA ALUM BOB 1100 H14 CGALSOSFP ESP0,7 LARG1000 DI406 DEMÁX1200 ACABFOSCO/FOSCO LADTB;700;1000;DTB CGA 1100 0,4-1,0
128;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,7 LARG1000 DI406 DEMÁX1200 ACABFOSCO/FOSCO LADTB;700;1000;DTB SGA 1100 0,4-1,0
129;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,3 LARG1000 DI406 DEMÁX1200 ACABFOSCO/FOSCO LADTB;300;1000;DTB SGA 1100 0,4-1,0
130;CHAPA ALUM FOR 1060 H18 SGALSOCFP ESP0,35 LARG1000 COMP2000 - ACABESPECULAR/FOSCO LAILUCLA;350;1000;TRANSPORTATION >0,2
131;CHAPA ALUM FOR 1100 H14 CGALSOSFP ESP0,3 LARG1000 COMP2000 - ACABFOSCO/FOSCO LADTB;300;1000;DTB CGA 1100 0,4-1,0
132;CHAPA ALUM FOR 1100 H14 SGALSOSFP ESP0,4 LARG1000 COMP2000 - ACABFOSCO/FOSCO LADTB;400;1000;DTB SGA 1100 0,4-1,0
133;CHAPA ALUM FOR 1100 H14 CGALSOSFP ESP0,5 LARG1000 COMP2000 - ACABFOSCO/FOSCO LADTB;500;1000;DTB CGA 1100 0,4-1,0
134;CHAPA ALUM FOR 1100 H14 SGALSOSFP ESP0,7 LARG1000 COMP2000 - ACABFOSCO/FOSCO LADTB;700;1000;DTB SGA 1100 0,4-1,0
135;CHAPA ALUM FOR 1100 H14 CGALSOSFP ESP0,8 LARG1000 COMP2000 ACABBRILHANTE/FOSCO LADTB;800;1000;DTB CGA 1100 0,4-1,0
136;CHAPA ALUM FOR 1100 H14 SGALSOSFP ESP0,8 LARG1000 COMP2000 - ACABBRILHANTE/FOSCO LADTB;800;1000;DTB SGA 1100 0,4-1,0
137;CHAPA ALUM FOR 1100 H14 CGALSOSFP ESP1,0 LARG1000 COMP2000 - ACABBRILHANTE/FOSCO LADTB;1000;1000;DTB CGA 1100 0,4-1,0
138;CHAPA ALUM FOR 1100 H14 SGALSOSFP ESP1,0 LARG1000 COMP2000 - ACABBRILHANTE/FOSCO LADTB;1000;1000;DTB SGA 1100 0,4-1,0
139;CHAPA ALUM FOR 1100 H14 SGALSOSFP ESP1,0 LARG1000 COMP2500 - ACABFOSCO/FOSCO LADTB;1000;1000;DTB SGA 1100 0,4-1,0
140;CHAPA ALUM FOR 1100 H14 CGALSOSFP ESP1,2 LARG1000 COMP2000 - ACABFOSCO/FOSCO LADTB;1200;1000;DTB CGA 1100 1,1-3,0
141;CHAPA ALUM FOR 1100 H14 SGALSOSFP ESP1,2 LARG1000 COMP2000 - ACABFOSCO/FOSCO LADTB;1200;1000;DTB SGA 1100 1,1-3,0
142;CHAPA ALUM FOR 1100 H14 CGALSOSFP ESP1,2 LARG1000 COMP3000 - ACABFOSCO/FOSCO LADTB;1200;1000;DTB CGA 1100 1,1-3,0
143;CHAPA ALUM FOR 1100 H14 SGALSOSFP ESP1,2 LARG1000 COMP3000 - ACABFOSCO/FOSCO LADTB;1200;1000;DTB SGA 1100 1,1-3,0
144;CHAPA ALUM FOR 1100 H14 SGALSOSFP ESP1,2 LARG1000 COMP2500 - ACABFOSCO/FOSCO LADTB;1200;1000;DTB SGA 1100 1,1-3,0
145;CHAPA ALUM FOR 1100 H14 CGALSOSFP ESP1,2 LARG1250 COMP2000 - ACABFOSCO/FOSCO LADTB;1200;1250;DTB CGA 1100 1,1-3,0
146;CHAPA ALUM FOR 1100 H14 SGALSOSFP ESP1,2 LARG1250 COMP2000 - ACABFOSCO/FOSCO LADTB;1200;1250;DTB SGA 1100 1,1-3,0
147;CHAPA ALUM FOR 1100 H14 CGALSOSFP ESP1,2 LARG1250 COMP3000 - ACABFOSCO/FOSCO LADTB;1200;1250;DTB CGA 1100 1,1-3,0
148;CHAPA ALUM FOR 1100 H14 SGALSOSFP ESP1,2 LARG1250 COMP3000 - ACABFOSCO/FOSCO LADTB;1200;1250;DTB SGA 1100 1,1-3,0
149;CHAPA ALUM FOR 1100 H14 CGALSOSFP ESP1,5 LARG1000 COMP2000 - ACABFOSCO/FOSCO LADTB;1500;1000;DTB CGA 1100 1,1-3,0
150;CHAPA ALUM FOR 1100 H14 SGALSOSFP ESP1,5 LARG1000 COMP2000 - ACABFOSCO/FOSCO LADTB;1500;1000;DTB SGA 1100 1,1-3,0
