Cód. Item;Descrição;Espessura(mm);Largura(mm);Grupo de Item
625;FOLHA ALUM BOB 8011 O ESP0,035 LARG615 DI152,4 DEMÁX650  BRILHANTE/FOSCO  CONVERTER 30-40;35;615;CONVERTER 30-40
626;ALUMINIO-FOLHA BOB- 8011 H18 ESP0,018 LARG935 DI76,2 DEMÁX650  BRI/FOS STOVENTOP PROT 18;18;935;STOVENTOP PROT 18
627;ALUMINIO-FOLHA BOB-3004 H24 ESP0,045 LARG280 DI76,2 DEMÁX650  BRI/BRI-FOODCONTAINER 40-55 TRD;45;280;FOODCONTAINER40-55TR
628;ALUMINIO-FOLHA BOB- 3003 H24 ESP0,028 LARG925 DI76,2 DEMÁX650  BRI/BRI FOODCONTAINER 28 TRD;28;925;FOODCONTAINER 28 TRD
629;ALUMINIO-FOLHA BOB- 3004 H24 ESP0,030 LARG738 DI76,2 DEMÁX650  BRI/BRI FOODCONTAINER 30 TRD;30;738;FOODCONTAINER 30 TRD
630;ALUMINIO-FOLHA BOB-3004 H24 ESP0,040 LARG245 DI76,2 DEMÁX650  BRI/BRI-FOODCONTAINER 40-55 TRD;40;245;FOODCONTAINER40-55TR
631;ALUMINIO-FOLHA BOB-3004 H24 ESP0,045 LARG322 DI76,2 DEMÁX650  BRI/BRI-FOODCONTAINER 40-55 TR;40;322;FOODCONTAINER40-55TR
632;FOLHA ALUM BOB 8011 O ESP0,008 LARG900 DI152,4 DEMÁX550 BRILHANTE/FOSCO  CONVERTER 8;8;900;CONVERTER 8
633;FOLHA ALUM BOB 8011 O ESP0,008 LARG65 DI76,2 DEMÁX350 BRILHANTE/FOSCO CONVERTER 8;8;65;CONVERTER 8
634;FOLHA ALUM BOB 8011 O ESP0,008 LARG500 DI152,4 DEMÁX550 BRILHANTE/FOSCO CONVERTER 8;8;500;CONVERTER 8
635;FOLHA ALUM BOB 8011O ESP0,051 LARG1000 DI152,4 DEMÁX550 NATURAL INDUSTRIAL 40- 100;51;1000;INDUSTRIAL 40-100
636;ALUMINIO-FOLHA  BOB- 8106 O  ESP0,035  LARG710  DI76,2  DEMÁX450  BRI/BRI FOODCONTAINER 35;35;710;FOODCONTAINER 35
637;ALUMINIO-FOLHA  BOB- 8106 O  ESP0,035  LARG520  DI76,2  DEMÁX550  BRI/BRI FOODCONTAINER 35;35;520;FOODCONTAINER 35
638;ALUMINIO-FOLHA  BOB- 8106 O  ESP0,050  LARG265  DI76,2  DEMÁX550  BRI/BRI FOODCONTAINER 30 - 50;50;265;FOODCONTAINER 40-55
639;ALUMINIO-FOLHA BOB 8011 H19 ESP0,021 LARG395 DI76,2 DEMÁX450 BRI/FOS LIDROUNDPLATES 21;21;395;LIDROUNDPLATES 21
640;ALUMINIO-FOLHA BOB 8011 O ESP0,030 LARG615 DI152,4 DEMÁX550 BRI/FOS CONVERTER 30-40;30;615;CONVERTER 30-40
641;ALUMINIO-FOLHA  BOB- 8106 O  ESP0,035  LARG520  DI76,2  DEMÁX550  BRI/FOS FOODCONTAINER 35;35;520;FOODCONTAINER 35
642;FOLHA ALUM BOB 8011 O ESP0,008 LARG1100 DI152,4 DEMÁX550 BRILHANTE/FOSCO CONVERTER 8;8;1100;CONVERTER 8
643;FOLHA ALUM BOB 8011 O ESP0,008 LARG1100 DI152,4 DEMÁX600 BRILHANTE/FOSCO CONVERTER 8;8;1100;CONVERTER 8
644;FOLHA ALUM BOB 8011 O ESP0,008 LARG610 DI152,4 DEMÁX550 BRILHANTE/FOSCO CONVERTER 8;8;610;CONVERTER 8
645;FOLHA ALUM BOB 8011 O ESP0,008 LARG840 DI152,4 DEMÁX550 BRILHANTE/FOSCO CONVERTER 8;8;840;CONVERTER 8
646;ALUMINIO-FOLHA  BOB- 8106 O  ESP0,050  LARG265  DI76,2  DEMÁX550  BRI/FOS FOODCONTAINER 30 - 50;50;265;FOODCONTAINER 40-55
647;ALUMINIO-FOLHA BOB-8011O ESP0,030 LARG890 DI152,4 DEMÁX550 BRI/FOS CONVERTER 30-40;30;890;CONVERTER 30-40
648;ALUMINIO-FOLHA BOB-8011O ESP0,008 LARG950 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;950;CONVERTER 8
649;FOLHA ALUM BOB 8011 O ESP0,030 LARG600 DI152,4 DEMÁX275 BRILHANTE/FOSCO S/SUP SIMP LAMIN S/CLAD;30;600;CONVERTER 30-40
650;ALUMINIO- FOLHA BOB- 8079 O ESP0,015 LARG610 DI152,4 DEMÁX550 BRI/FOS CONVERTER 15;15;610;CONVERTER 15
651;ALUMINIO-FOLHA BOB- 8011 O ESP0,009 LARG300 DI76,2 DEMÁX550 BRI/FOS HHF 9;9;300;HHF 9
652;ALUMINIO-FOLHA BOB- 8011 O ESP0,009 LARG450 DI76,2 DEMÁX550 BRI/FOS HHF 9;9;450;HHF 9
653;ALUMINIO-FOLHA BOB- 8011 O ESP0,130 LARG280 DI152,4 DEMÁX550 COMUM/COMUM NATURAL CONVERTER 130;130;280;CONVERTER 130
654;ALUMINIO-FOLHA BOB-8011O ESP0,130 LARG1000 DI152,4 DEMÁX550 COMUM/COMUM NATURAL FINISTOCK 100-200;130;1000;FINSTOCK 100-200
655;ALUMINIO FOLHA BOB 8011 O ESP0,100 LARG275 DI152,4  DEMÁX700 COMUM/COMUM NATURAL FINSTOCK 100-200;100;275;FINSTOCK 100-200
656;ALUMINIO FOLHA BOB  8011 O ESP0,127 LARG350 DI152,4 DEMÁX700 COMUM/COMUM NATURAL FINSTOCK 100-200;127;350;FINSTOCK 100-200
657;ALUMINIO FOLHA BOB  8011 O ESP0,127 LARG285 DI152,4 DEMÁX700 GOLD/GOLD FINSTOCK GOLD 100-200;127;285;FINSTOCK GOLD100-200
658;ALUMINIO FOLHA BOB  8011 O ESP0,170 LARG140 DI152,4 DEMÁX700 COMUM/COMUM NATURAL FINSTOCK 100-200;170;140;FINSTOCK 100-200
659;ALUMINIO FOLHA BOB  8011 O ESP0,00635 LARG450 DI152,4 DEMÁX550 BRI/FOS CONVERTER 6,35;6,35;450;CONVERTER 6,30-6,35
660;ALUMINIO FOLHA BOB  8011 O ESP0,00635 LARG850 DI152,4 DEMÁX550 BRI/FOS CONVERTER 6,35;6,35;850;CONVERTER 6,30-6,35
661;ALUMINIO FOLHA BOB  8011 O ESP0,110 LARG285 DI152,4 DEMÁX700 COMUM/COMUM NATURAL FINSTOCK 100-200;110;285;FINSTOCK 100-200
662;ALUMINIO FOLHA BOB  8011 O ESP0,150 LARG285 DI152,4 DEMÁX700 COMUM/COMUM NATURAL FINSTOCK 100-200;150;285;FINSTOCK 100-200
663;ALUMINIO FOLHA BOB  8011 O ESP0,150 LARG350 DI152,4 DEMÁX700 COMUM/COMUM NATURAL FINSTOCK 100-200;150;350;FINSTOCK 100-200
664;ALUMINIO FOLHA BOB  8011 O ESP0,150 LARG1000 DI152,4 DEMÁX550 COMUM/COMUM NATURAL FINSTOCK 100-200;150;1000;FINSTOCK 100-200
665;ALUMINIO FOLHA BOB  8011 O ESP0,110 LARG815 DI152,4 DEMÁX700 COMUM/COMUM NATURAL FINSTOCK 100-200;110;815;FINSTOCK 100-200
666;ALUMINIO FOLHA BOB  8011 O ESP0,007 LARG670 DI152,4 DEMÁX550 BRI/FOS CONVERTER 7;7;670;CONVERTER 7
667;ALUMINIO FOLHA BOB  8011 O ESP0,127 LARG1200 DI152,4 DEMÁX700 GOLD/GOLD FINSTOCK GOLD 100-200;127;1200;FINSTOCK GOLD100-200
668;ALUMINIO FOLHA BOB  8011 O ESP0,00635 LARG560 DI152,4 DEMÁX550 BRI/FOS CONVERTER 6,35;6,35;560;CONVERTER 6,30-6,35
669;ALUMINIO FOLHA BOB  8011 O ESP0,00635 LARG810 DI152,4 DEMÁX550 BRI/FOS CONVERTER 6,35;6,35;810;CONVERTER 6,30-6,35
670;ALUMINIO FOLHA BOB  8011 O ESP0,150 LARG1000 DI152,4 DEMÁX300 COMUM/COMUM NATURAL FINSTOCK 100-200;150;1000;FINSTOCK 100-200
671;ALUMINIO-FOLHA BOB-8011O ESP0,008 LARG695 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;695;CONVERTER 8
672;ALUMINIO-FOLHA BOB-8011O ESP0,008 LARG925 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;925;CONVERTER 8
673;ALUMINIO-FOLHA BOB- 8011 O ESP0,008 LARG450 DI152,4 DEMÁX580 BRI/FOS HHF 8;8;450;HHF 8
674;ALUMINIO-FOLHA ALU ALU OPA 25 ALU 45 PVC 60 BOB-ESP0,140 LARG1200 DI152,4 DEMÁX950 BLISTER 140;140;1200;BLISTER 140
675;ALUMINIO-FOLHA ALU ALU OPA 25 ALU 45 PVC 60 BOB-ESP0,140 LARG1000 DI152,4 DEMÁX950 BLISTER 140;140;1000;BLISTER 140
676;ALUMINIO-FOLHA BOB- 8011 O ESP0,127 LARG350 DI152,4 DEMÁX700 GOLD/GOLD FINISTOCK GOLD 100-200;127;350;FINSTOCK GOLD100-200
677;ALUMINIO-FOLHA BOB- 8011 O ESP0,100 LARG275 DI152,4 DEMÁX700 GOLD/GOLD FINISTOCK GOLD 100-200;100;275;FINSTOCK GOLD100-200
678;ALUMINIO-FOLHA BOB- 8011 O ESP0,127 LARG275 DI152,4 DEMÁX700 GOLD/GOLD FINISTOCK GOLD 100-200;127;275;FINSTOCK GOLD100-200
679;ALUMINIO ARAME  BOB- 4043 - DI 1,2  BRILHANTE WIRES 1,2;;;WIR 0,8 - 1,8
680;ALUMINIO-FOLHA BOB-8011 0 ESP0,007 LARG968 DI152,4 DEMAX550 BRI/FOS CONVERTER 7;7;968;CONVERTER 7
681;ALUMINIO-FOLHA BOB- 8079 O ESP0,007  LARG300  DI152,4 DEMÁX500  BRI/FOS HHF 7;7;300;HHF 7
682;ALUMINIO-FOLHA BOB- 8079 O ESP0,008 LARG450 DI152,4 DEMÁX550 BRI/FOS HHF 8;8;450;HHF 8
683;ALUMINIO-FOLHA BOB- 8011 O ESP0,008 LARG625 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;625;CONVERTER 8
684;ALUMINIO-FOLHA BOB- 8011 O ESP0,00630 LARG1225 DI152,4 DEMÁX550 BRI/FOS CONVERTER 6,35;6,3;1225;CONVERTER 6,30-6,35
685;ALUMINIO-FOLHA BOB- 8011 O ESP0,00630 LARG1175 DI152,4 DEMÁX550 BRI/FOS CONVERTER 6,35;6,3;1175;CONVERTER 6,30-6,35
686;ALUMINIO-FOLHA BOB- 8079 O ESP0,016 LARG450 DI152,4 DEMÁX500 BRI/FOS HHF 16;16;450;HHF 16
687;ALUMINIO-FOLHA BOB- 8011 O ESP0,025 LARG550 DI152,4 DEMÁX550 BRI/FOS CONVERTER 20-25;25;550;CONVERTER 20-25
688;ALUMINIO-FOLHA BOB- 8011 O ESP0,015 LARG570 DI152,4 DEMÁX550 BRI/FOS CONVERTER 15;15;570;CONVERTER 15
689;ALUMINIO-FOLHA BOB- 8011 O ESP0,025 LARG560 DI152,4 DEMÁX550 BRI/FOS CONVERTER 20-25;25;560;CONVERTER 20-25
690;ALUMINIO-FOLHA BOB- 8011 O ESP0,0105 LARG300 DI152 DEMÁX700 BRI/FOS HHF 10,5;10,5;300;HHF 10,5
691;ALUMINIO-VARETA CAIXA-  4043  DIA 1,6  BRILHANTE RODS 1,6;;;ROD 1,2 - 4,0
692;ALUMINIO-VARETA CAIXA-  4043  DIA 2,4    BRILHANTE RODS 2,4;;;ROD 1,2 - 4,0
693;ALUMINIO-VARETA CAIXA-  4043  DIA 3,2    BRILHANTE RODS 3,2;;;ROD 1,2 - 4,0
694;ALUMINIO-VARETA CAIXA-  5356  DIA 2,4    BRILHANTE RODS 2,4;;;ROD 1,2 - 4,0
695;ALUMINIO-ARAME BOB-  4043  DIA 0,8    BRILHANTE WIRES 0,8;;;WIR 0,8 - 1,8
696;ALUMINIO-ARAME BOB-  4043  DIA 1,0    BRILHANTE WIRES 1,0;;;WIR 0,8 - 1,8
697;ALUMINIO-FOLHA BOB- 8011 O ESP0,008 LARG1065 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;1065;CONVERTER 8
698;ALUMINIO-FOLHA BOB- 8079 O ESP0,008 LARG1120 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;1120;CONVERTER 8
699;ALUMINIO-FOLHA BOB- 8079 O ESP0,008 LARG1220 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;1220;CONVERTER 8
700;ALUMINIO-FOLHA BOB- 8079 O ESP0,008 LARG1400 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;1400;CONVERTER 8
701;ALUMINIO-FOLHA BOB- 8079 O ESP0,00635 LARG700 DI152,4 DEMÁX550 BRI/FOS CONVERTER 6,35;6,35;700;CONVERTER 6,30-6,35
702;ALUMINIO-FOLHA BOB- 8079 O ESP0,00635 LARG880 DI152,4 DEMÁX550 BRI/FOS CONVERTER 6,35;6,35;880;CONVERTER 6,30-6,35
703;ALUMINIO-FOLHA BOB- 8011 O ESP0,008 LARG785 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;785;CONVERTER 8
704;ALUMINIO-FOLHA BOB- 8011 O ESP0,0105 LARG450 DI152,4 DEMÁX700 BRI/FOS HHF 10,5;10,5;450;HHF 10,5
705;ALUMINIO-FOLHA BOB- 8079 O ESP0,00635 LARG810 DI152,4 DEMÁX550 BRI/FOSCONVERTER 6,35;6,35;810;CONVERTER 6,30-6,35
706;ALUMINIO-FOLHA BOB- 8079 O ESP0,00635 LARG845 DI152,4 DEMÁX550 BRI/FOS CONVERTER 6,35;6,35;845;CONVERTER 6,30-6,35
707;ALUMINIO-FOLHA BOB- 8079 O ESP0,00635 LARG915 DI152,4 DEMÁX580 BRI/FOS CONVERTER 6,35;6,35;915;CONVERTER 6,30-6,35
708;ALUMINIO-FOLHA BOB- 8011 O ESP0,025 LARG600 DI152,4 DEMÁX650  BRI/FOS CONVERTER 20-25;25;600;CONVERTER 20-25
709;ALUMINIO-FOLHA BOB- 8079 O ESP0,0065 LARG750 DI76,2 DEMÁX550 BRI/FOS CONVERTER 6,5;6,5;750;CONVERTER 6,50
710;ALUMINIO-FOLHA BOB- 8079 O ESP0,0065 LARG890 DI76,2 DEMÁX550 BRI/FOS CONVERTER 6,5;6,5;890;CONVERTER 6,50
711;ALUMINIO-FOLHA BOB- 8079 O ESP0,0063 LARG890 DI152,4 DEMÁX550 BRI/FOS CONVERTER 6,3;6,3;890;CONVERTER 6,30-6,35
712;ALUMINIO-FOLHA BOB- 8079 O ESP0,0063 LARG930 DI152,4 DEMÁX550 BRI/FOS CONVERTER 6,3;6,3;930;CONVERTER 6,30-6,35
713;ALUMINIO-FOLHA BOB- 8079 O ESP0,008 LARG740 DI152,4 DEMÁX580 BRI/FOS CONVERTER 8;8;740;CONVERTER 8
714;ALUMINIO-FOLHA BOB- 8079 O ESP0,008 LARG1020 DI152,4 DEMÁX580 BRI/FOS CONVERTER 8;8;1020;CONVERTER 8
715;ALUMINIO-FOLHA BOB- 8079 O ESP0,00635 LARG1220 DI152,4 DEMÁX580 BRI/FOS CONVERTER 6,35;6,35;1220;CONVERTER 6,30-6,35
716;ALUMINIO-FOLHA BOB- 8011 O ESP0,008 LARG300 DI152,4 DEMÁX580 BRI/FOS HHF 8;8;300;HHF 8
717;ALUMINIO-FOLHA BOB- 8079 O ESP0,015 LARG570 DI152,4 DEMÁX550 BRI/FOS CONVERTER 15;15;570;CONVERTER 15
718;ALUMINIO-FOLHA BOB- 8079 O ESP0,00635 LARG750 DI152,4 DEMÁX550 BRI/FOS CONVERTER 6,35;6,35;750;CONVERTER 6,30-6,35
719;ALUMINIO-FOLHA BOB- 8079 O ESP0,00635 LARG660 DI152,4 DEMÁX550 BRI/FOS CONVERTER 6,35;6,35;660;CONVERTER 6,30-6,35
720;ALUMINIO-FOLHA BOB- 8079 O ESP0,007 LARG700 DI152,4 DEMÁX550 BRI/FOS CONVERTER 7;7;700;CONVERTER 7
721;ALUMINIO-FOLHA BOB- 8079 O ESP0,008 LARG900 DI152,4 DEMÁX560 BRI/FOS CONVERTER 8;8;900;CONVERTER 8
722;ALUMINIO-FOLHA BOB- 8079 O ESP0,008 LARG930 DI152,4 DEMÁX560 BRI/FOS CONVERTER 8;8;930;CONVERTER 8
723;ALUMINIO-FOLHA BOB- 8079 O ESP0,008 LARG955 DI152,4 DEMÁX560 BRI/FOS CONVERTER 8;8;955;CONVERTER 8
724;ALUMINIO-FOLHA BOB- 8079 O ESP0,00635 LARG850 DI152,4 DEMÁX550 BRI/FOS CONVERTER 6,35;6,35;850;CONVERTER 6,30-6,35
725;ALUMINIO-FOLHA BOB- 8011 O ESP0,008 LARG450 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;450;CONVERTER 8
726;ALUMINIO-FOLHA BOB- 8011 O ESP0,150 LARG540 DI152,4 DEMÁX650  COMUM/COMUM FINSTOCK GOLD 100-200;150;540;FINSTOCK GOLD100-200
727;ALUMINIO-FOLHA BOB- 8011 O ESP0,150 LARG460 DI152,4 DEMÁX650  COMUM/COMUM FINSTOCK GOLD 100-200;150;460;FINSTOCK GOLD100-200
728;ALUMINIO-CHAPA BOB- 3003 H16 ESP0,7 LARG2600 DI508 DEMÁX630 COMUM/COMUM TRANSPORTATION >0,2;700;2600;TRANSPORTATION >0,2
729;ALUMINIO-FOLHA  BOB- 8106 O ESP0,050 LARG255 DI152,4 DEMÁX550 BRI/FOSFOODCONTAINER 30 - 50;50;255;FOODCONTAINER 40-55
730;ALUMINIO-FOLHA  BOB- 1235 O ESP0,00635 LARG1295 DI152,4 DEMÁX550 BRI/FOS CONVERTER 6,35;6,35;1295;CONVERTER 6,30-6,35
731;ALUMINIO-FOLHA  BOB- 8011 O ESP0,008 LARG590 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;590;CONVERTER 8
732;ALUMINIO-FOLHA  BOB- 8079 O ESP0,00635 LARG920 DI152,4 DEMÁX550 BRI/FOS CONVERTER 6,35;6,35;920;CONVERTER 6,30-6,35
733;ALUMINIO-FOLHA BOB- 8079 O ESP0,00635 LARG680 DI152,4 DEMÁX550 BRI/FOS CONVERTER 6,35;6,35;680;CONVERTER 6,30-6,35
734;ALUMINIO-FOLHA BOB- 8011 O ESP0,008 LARG570 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;570;CONVERTER 8
735;ALUMINIO-FOLHA BOB- 8011 O ESP0,008 LARG655 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;655;CONVERTER 8
736;ALUMINIO-FOLHA BOB- 8011 O ESP0,00635 LARG680 DI152,4 DEMÁX550 BRI/FOS CONVERTER 6,35;6,35;680;CONVERTER 6,30-6,35
737;ALUMINIO-FOLHA BOB- 8011 O ESP0,080 LARG1200 DI152,4 DEMÁX700 BRI/BRI CONVERTER 80;80;1200;CONVERTER 80
738;ALUMINIO-CHAPA  BOB- 3003 H16 ESP0,7 LARG2600 DI508 DEMAX728 COMUM/COMUM TRANSPORTATION >0,2;700;2600;TRANSPORTATION >0,2
739;ALUMINIO-FOLHA BOB- 3104 H19 ESP0,18 LARG16 DI400 DEMÁX1100 COMUM/COMUM CONSTRUCTION 16-25;18;16;CONSTRUCTION 16-25
740;ALUMINIO-FOLHA BOB- 3104 H19 ESP0,18 LARG25 DI400 DEMÁX1100 COMUM/COMUM CONSTRUCTION 16-25;18;25;CONSTRUCTION 16-25
741;ALUMINIO-FOLHA BOB- 8079 O ESP0,008 LARG530 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;530;CONVERTER 8
742;ALUMINIO-FOLHA BOB- 8011 O ESP0,008 LARG555 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;555;CONVERTER 8
743;ALUMINIO-FOLHA BOB- 8011 O ESP0,008 LARG775 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;775;CONVERTER 8
744;ALUMINIO-FOLHA BOB- 8011 O ESP0,00635 LARG440 DI152,4 DEMÁX550 BRI/FOS CONVERTER 6,35;6,35;440;CONVERTER 6,30-6,35
745;ALUMINIO-FOLHA BOB- 8079 O ESP0,008 LARG770 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;770;CONVERTER 8
746;ALUMINIO-FOLHA BOB- 8011 O ESP0,008 LARG770 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;770;CONVERTER 8
747;ALUMINIO-FOLHA BOB- 8011 O ESP0,008 LARG835 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;835;CONVERTER 8
748;ALUMINIO-FOLHA BOB- 8011 O ESP0,025 LARG665 DI152,4 DEMÁX650 BRI/FOS CONVERTER 25;25;665;CONVERTER 20-25
749;ALUMINIO-FOLHA BOB- 8006 O ESP0,150 LARG355 DI152,4 DEMÁX700 COMUM/COMUM NATURAL FINSTOCK 100-200;150;355;FINSTOCK 100-200
750;ALUMINIO-FOLHA BOB- 3104 H19 ESP0,18 LARG12,5 DI400 DEMÁX1000 COMUM/COMUM CONSTRUCTION 12,5;18;12,5;CONSTRUCTION 12,5
751;ALUMINIO-FOLHA BOB- 8011 O ESP0,100 LARG125 DI152,4 DEMÁX700 COMUM/COMUM FINSTOCK 100-200;100;125;FINSTOCK 100-200
752;ALUMINIO-FOLHA BOB- 8011 O ESP0,100 LARG250 DI152,4 DEMÁX700 COMUM/COMUM FINSTOCK 100-200;100;250;FINSTOCK 100-200
753;ALUMINIO-FOLHA BOB- 8011 O ESP0,008 LARG485 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;485;CONVERTER 8
754;ALUMINIO-FOLHA BOB- 8011 O ESP0,008 LARG1220 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;1220;CONVERTER 8
755;ALUMINIO-FOLHA BOB- 8011 O ESP0,008 LARG880 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;880;CONVERTER 8
756;ALUMINIO-VARETA CAIXA-  5356  DIA 3,2    BRILHANTE ROD 1,2 - 4,0;;;ROD 1,2 - 4,0
757;ALUMINIO-FOLHA BOB- 8011 O ESP0,033 LARG600 DI152,4 DEMÁX550 BRI/FOS CONVERTER 30-40;33;600;CONVERTER 30-40
758;ALUMINIO-FOLHA BOB- 8079 O ESP0,150 LARG285 DI152,4 DEMÁX700 COMUM/COMUMFINSTOCK 100-200;150;285;FINSTOCK 100-200
759;ALUMINIO-FOLHA BOB- 8079 O ESP0,008 LARG380 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;380;CONVERTER 8
760;ALUMINIO-FOLHA BOB- 8011 O ESP0,180 LARG535 DI152,4 DEMÁX850 COMUM/COMUMFINSTOCK 100-200;180;535;FINSTOCK 100-200
761;ALUMINIO-FOLHA BOB- 8011 O ESP0,008 LARG865 DI152,4 DEMÁX600 BRI/FOS CONVERTER 8;8;865;CONVERTER 8
762;ALUMINIO-FOLHA BOB- 8011 O ESP0,127 LARG285 DI152,4 DEMÁX700 COMUM/COMUMFINSTOCK 100-200;127;285;FINSTOCK 100-200
763;ALUMINIO-FOLHA BOB- 8011 O ESP0,025 LARG1000 DI152,4 DEMÁX600 BRI/FOS BLISTER 20-25;25;1000;BLISTER 20-25
764;ALUMINIO-FOLHA BOB- 8079 O ESP0,008 LARG1060 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;1060;CONVERTER 8
765;ALUMINIO-FOLHA BOB- 8079 O ESP0,007 LARG715 DI152,4 DEMÁX550 BRI/FOS CONVERTER 7;7;715;CONVERTER 7
766;ALUMINIO-FOLHA BOB- 8079 O ESP0,008 LARG780 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;780;CONVERTER 8
767;ALUMINIO-FOLHA BOB- 8011 O ESP0,008 LARG1020 DI152,4 DEMÁX700 BRI/FOS CONVERTER 8;8;1020;CONVERTER 8
768;ALUMINIO-FOLHA BOB- 8079 O ESP0,150 LARG218 DI152,4 DEMÁX700 COMUM/COMUMFINSTOCK 100-200;150;218;FINSTOCK 100-200
769;ALUMINIO-CHAPA  FOR- 1200 H14 CFP ESP3,0 LARG1250 COMP3000  COMUM/COMUM Construction >0,2;3000;1250;CONSTRUCTION >0,2
770;ALUMINIO-CHAPA  BOB- 1100 H14 SFP ESP0,4 LARG600 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;400;600;CONSTRUCTION >0,2
771;ALUMINIO-CHAPA  BOB- 1200 H14 SFP ESP0,4 LARG500 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;400;500;CONSTRUCTION >0,2
772;ALUMINIO-CHAPA  BOB- 1100 H14 SFP ESP0,4 LARG300 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;400;300;CONSTRUCTION >0,2
773;ALUMINIO-CHAPA  BOB- 1200 H14 SFP ESP0,4 LARG400 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;400;400;CONSTRUCTION >0,2
774;ALUMINIO-CHAPA  BOB- 1200 H14 SFP ESP0,4 LARG200 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;400;200;CONSTRUCTION >0,2
775;ALUMINIO-CHAPA  BOB- 1200 H14 SFP ESP0,4 LARG700 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;400;700;CONSTRUCTION >0,2
776;ALUMINIO-CHAPA  BOB- 1200 H14 SFP ESP0,4 LARG800 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;400;800;CONSTRUCTION >0,2
777;ALUMINIO-CHAPA  BOB- 1200 H14 SFP ESP0,4 LARG1000 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;400;1000;CONSTRUCTION >0,2
778;ALUMINIO-CHAPA  BOB- 1200 H14 SFP ESP0,4 LARG900 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;400;900;CONSTRUCTION >0,2
779;ALUMINIO-CHAPA  BOB- 1200 H14 SFP ESP0,5 LARG200 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;500;200;CONSTRUCTION >0,2
780;ALUMINIO-CHAPA  BOB- 1100 H14 SFP ESP0,5 LARG300 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;500;300;CONSTRUCTION >0,2
781;ALUMINIO-CHAPA  BOB- 1200 H14 SFP ESP0,5 LARG500 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;500;500;CONSTRUCTION >0,2
782;ALUMINIO-CHAPA  BOB- 1200 H14 SFP ESP0,5 LARG400 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;500;400;CONSTRUCTION >0,2
783;ALUMINIO-CHAPA  BOB- 1200 H14 SFP ESP0,5 LARG700 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;500;700;CONSTRUCTION >0,2
784;ALUMINIO-CHAPA  BOB- 1100 H14 SFP ESP0,5 LARG600 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;500;600;CONSTRUCTION >0,2
785;ALUMINIO-CHAPA  BOB- 1200 H14 SFP ESP0,5 LARG900 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;500;900;CONSTRUCTION >0,2
786;ALUMINIO-CHAPA  BOB- 1200 H14 SFP ESP0,5 LARG800 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;500;800;CONSTRUCTION >0,2
787;ALUMINIO-CHAPA  BOB- 1100 H14 CFP ESP0,5 LARG1000 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;500;1000;CONSTRUCTION >0,2
788;ALUMINIO-CHAPA  FOR- 1200 H14 CFP ESP0,5 LARG1000 COMP2000  COMUM/COMUM Construction >0,2;500;1000;CONSTRUCTION >0,2
789;ALUMINIO-CHAPA  BOB- 1200 H14 SFP ESP0,5 LARG1000 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;500;1000;CONSTRUCTION >0,2
